Tema 1,Tema 2,Tema 3,Tema 4,Total Examen
4,4,0,3,11
7,11,14,0,32
15,20,48,2,85
10,20,32,8,70
19,2,46,8,75
18,20,0,7,45
16,4,43,2,65
6,2,28,3,39
16,20,31,7,74
8,0,0,0,8
0,0,0,0,0
0,0,27,0,27
5,2,30,5,42
18,17,47,8,90
18,15,43,10,86
10,4,27,3,44
0,2,26,2,30
0,15,48,6,69
4,18,22,7,51
18,19,50,6,93
18,20,50,7,95
0,2,0,3,5
15,4,4,3,26
9,10,28,8,55
13,13,23,6,55
4,2,7,0,13
0,0,22,0,22
10,16,47,5,78
16,4,0,7,27
16,4,25,2,47
7,8,0,2,17
19,9,8,2,38
2,18,32,5,57
20,0,32,0,52
14,7,34,3,58
20,20,30,7,77
12,4,47,7,70
5,15,40,2,62
18,20,50,10,98
16,0,35,0,51
6,18,36,2,62
4,0,0,0,4
20,20,21,2,63
18,0,0,2,20
19,17,6,8,50
20,16,30,0,66
4,15,28,5,52
13,8,27,0,48
16,0,0,3,19
12,4,40,3,59
8,4,28,8,48
20,12,47,4,83
4,4,28,8,44
12,4,0,5,21
2,2,22,0,26
4,2,16,2,24
8,0,0,0,8
16,4,36,8,64
16,7,0,3,26
15,4,39,3,61
20,20,50,10,100
2,4,22,7,35
10,0,0,5,15
12,0,0,2,14
4,0,2,1,7
11,5,30,2,48
16,1,40,3,60
8,18,49,5,80
16,15,34,3,68
20,12,6,5,43
4,0,6,1,11
10,20,0,9,39
0,4,22,0,26
5,4,3,0,12
0,5,9,2,16
7,4,23,9,43
5,20,3,10,38
0,0,0,0,0
10,4,18,0,32
0,0,0,5,5
0,0,0,0,0
3,0,31.5,3,37.5
3,0,5.5,8,16.5
8,0,14,1,23
4,0,30,9,43
15,0,10,2,27
6.5,0,32,0,38.5
18,18,36,7,79
19.5,19,49.5,0,88
0,0,0,0,0
0,0,0,0,0
19,19,45,5,88
0,5,8,1,14
2,0,17,0,19
11,17,13,0,41
19,19,38,1,77
12,12,28,0,52
11,7,40,4,62
19,20,50,8,97
20,20,50,10,100
20,20,50,10,100
10,18,22,3,53
19,0,49,7,75
1,0,1,1,3
8,12,8,2,30
0,0,18,2,20
12,2,3,9,26
7,7,44,8,66
0,18,48,5,71
5,0,0,0,5
0,15.5,39,7.5,62
6,5,44,3,58
16,9,38,1,64
20,20,50,10,100
17,6,28,3,54
17,6,36,5,64
0,0,0,0,0
0,0,3,9,12
5,0,10,2,17
0,0,6,4,10
18,18,30,5,71
14.5,18,0,8,40.5
14,5,7,0,26
17,0,47.5,5,69.5
20,7,34,9,70
6,3.5,0,0,9.5
20,20,26,1,67
18,20,35,6,79
1,0,1,0,2
14.5,6,9,2,31.5
16.5,14,47,8,85.5
0,0,0,0,0
8.5,1,32,7,48.5
4,3,0,0,7
0,0,2,0,2
20,20,50,10,100
12,20,5,0,37
18,20,44,0,82
0,0,0,0,0
3,0,0,4,7
16,17,38,2,73
4.5,0,0,4,8.5
15,18,47.5,7,87.5
15,14,46,8,83
2,0,0,0,2
14.5,10,2,0,26.5
8,3,5,2,18
2.5,4,47,2,55.5
5,0,0,0,5
19,0,2,9,30
0,2,29,8,39
8,6,0,8,22
9,3,40,4,56
10,0,10,0,20
3,1,0,0,4
18,0,44,8,70
6,3,11,8,28
8,20,48.5,2,78.5
17,14,46,2,79
16,0,17,8,41
20,20,38,4,82
14,1,35,2,52
0,0,1,0,1
0,0,0,0,0
11,0,0,3,14
20,19,50,9,98
0,6,4,0,10
17,19.5,46,10,92.5
2,16,50,2,70
0,0,0,0,0
7.5,6,30,4,47.5
8,1,6,4,19
17,0,38,6,61
19,20,41,0,80
18,19.5,48,8,93.5
